Restaurant Id,Restaurant Name,Country,City,User Rating Votes,User Aggregate Rating,Cuisines
18649486,The Drunken Botanist,India,Gurgaon,4765,4.4,"Continental, Italian, North Indian, Chinese"
308322,Hauz Khas Social,India,New Delhi,13627,4.6,"Continental, American, Asian, North Indian, Chinese, Pizza, Biryani, Beverages"
18856789,AIR- An Ivory Region,India,New Delhi,1819,4.1,"North Indian, Chinese, Continental, Asian"
307374,AMA Cafe,India,New Delhi,3252,4.4,"Cafe, Juices"
18238278,Tamasha,India,New Delhi,8112,4.4,"Finger Food, North Indian, Continental, Italian"
18268712,Chili's Grill & Bar,India,Noida,3702,4.6,"Mexican, American, Italian, Burger"
18198449,Punjabi Angithi,India,New Delhi,3613,4.7,"North Indian, Chinese, Momos, Rolls, Fast Food"
18382360,Local,India,New Delhi,5694,4.3,"North Indian, Continental, Momos"
18273624,Cafeteria & Co.,India,New Delhi,4229,4.5,"Continental, Mexican, Fast Food"
18466951,Jungle Jamboree,India,Noida,2832,4.5,"North Indian, Continental, Chinese, BBQ"
306046,SodaBottleOpenerWala,India,Gurgaon,3818,4.2,"Parsi, North Indian, Maharashtrian, Beverages, Bakery"
18337893,The Luggage Room Kitchen And Bar,India,New Delhi,1622,4.5,"Italian, Chinese, Continental"
18518483,Echoes Hudson Lane,India,New Delhi,2534,4.6,"Cafe, American, Chinese, Continental, North Indian, Italian"
18246991,Odeon Social,India,New Delhi,5808,4.4,"Continental, American, Asian, North Indian, Momos, Beverages"
8913,Pirates of Grill,India,Gurgaon,5760,4.9,"North Indian, Mughlai, Continental"
313256,The Junkyard Cafe,India,New Delhi,5512,4.5,"North Indian, Mediterranean, Asian, Salad, Momos"
18562836,Diggin,India,New Delhi,2335,4.2,"Italian, Continental, Beverages"
17953943,The Burger Club,India,New Delhi,2411,4.2,"Burger, Fast Food, Beverages"
18258498,Chinese Kitchen,India,New Delhi,713,4.1,"Fast Food, Chinese, Momos"
18537536,Chili's Grill & Bar,India,New Delhi,2364,4.6,"Mexican, American, Italian"
18707652,Zam Zam,India,Kolkata,824,4.4,"Biryani, Mughlai"
18571735,Dum Laga Ke Haishaa,India,Kolkata,770,4.5,"Continental, Biryani, North Indian, Chinese, Kebab"
18398880,JW Kitchen - JW Marriott Hotel Kolkata,India,Kolkata,3578,4.6,"North Indian, European, Mediterranean, Thai, Salad, Juices"
18677746,Burger in Law,India,Kolkata,455,4.7,"Burger, Fast Food"
17983797,Dada Boudi Restaurant,India,Kolkata,1993,4.3,"Mughlai, North Indian, Chinese"
18538536,Scrapyard,India,Kolkata,1260,4.2,"North Indian, Chinese, Continental"
25570,Barbeque Nation,India,Kolkata,4597,4.8,"North Indian, Chinese, Kebab, BBQ"
18354569,Tram Deepo,India,Kolkata,1895,4.4,"Continental, Chinese, Fast Food, Finger Food, North Indian, Mexican"
18259462,Ocean Grill,India,Kolkata,2318,4.3,"Continental, Seafood, North Indian, Asian"
18761167,Echoes Kolkata,India,Kolkata,456,4.8,"North Indian, Continental, Chinese, Italian, American"
18751849,Five Mad Men,India,Kolkata,1465,4.3,"American, Chinese, Continental, North Indian"
20747,India Restaurant,India,Kolkata,3909,4.5,"Biryani, Mughlai"
18461760,Kankurgachi Dhaba,India,Kolkata,700,3.9,"North Indian, Biryani, Chinese"
20404,Peter Cat,India,Kolkata,11476,4.2,"Continental, North Indian"
18017615,What's Up,India,Kolkata,4162,4.4,"Chinese, Continental, Italian, Kebab"
18265479,BJs Sports Restrau Cum Lounge,India,Kolkata,1405,4.7,"Cafe, North Indian"
18377098,CALCUTTA 64,India,Kolkata,2134,4.4,"Italian, Continental, Mexican"
18377112,Nawwarah Fine Dine & Lounge,India,Kolkata,1993,4.3,"North Indian, Chinese"
